"Feature ID","RPKM"
MT2010,9.294
MT1012,417.5
MT0473,8.813
dnaA,96.483
dnaN,36.799
recF,32.235
MT0004,36.861
gyrB,327.194
gyrA,262.688
MT0007,138.743
MTt01,0.756
MTt02,1.532
MT0009,2.954
MT0010,18.215
ppi-1,159.427
MT0012,109.236
MT0013,67.392
MT0014,74.754
MT0015,55.872
MT0016,83.227
MT0017,94.827
MT0018,155.514
MT0019,116.191
ftsW-1,81.692
MT0021,124.467
MT0022,149.317
MT0023,350.666
MTt03,33.18
MT0024,30.409
MT0025,9.988
MT0026,65.182
MT0027,71.932
MT0028,60.58
MT0029,19.93
MT0030,17.58
MT0030.1,28.095
MT0031,38.822
MT0032,10.46
MT0033,8.356
MT0034,16.411
MT0035,18.318
MT0036,9.931
MT0037,10.636
acp-1,8.162
MT0039,10.441
MT0040,19.239
MT0041,55.224
MT0042,30.906
MT0043,110.156
MT0044,62.584
mtc28,180.693
leuS,21.152
MT0048,14.117
MT0049,13.944
MT0050,14.357
MT0051,109.196
MT0052,942.657
MT0053,563.998
MT0054,17.872
MT0055,123.36
ponA,118.382
MT0057,39.427
MT0058,30.803
rpsF,42.425
ssb,60.587
rpsR (NC_002755 59065..59320),60.061
rplI,78.406
MT0063,62.138
dnaB,85.587
MT0065,40.083
MT0066,87.488
MT0066.1,144.591
MT0066.2,93.775
celA,26.493
mitR,38.135
MT0069,48.169
MT0070,68.553
MT0071,45.051
icd-1,43.09
MT0073,17.879
MT0074,17.623
sdaA,11.638
glyA (NC_002755 77599..78877),8.566
MT0077,6.173
MT0078,41.374
MT0079,45.567
MT0080,30.954
MT0081,25.418
MT0082,18.665
MT0083,29.219
MT0084,9.129
MT0085,56.175
MT0085.1,170.053
MT0086,47.111
MT0087,30.383
MT0088,21.099
MT0089,36.639
MT0090,15.384
hycD,28.413
hyfE,23.891
MT0093,32.193
hycE,8.692
MT0096,63.151
MT0098,11.274
MT0099,5.061
MT0099.1,3.287
MT0100,10.616
MT0101,23.13
MT0102,18.725
MT0103,27.162
MT0104,7.323
MT0105,3.389
MT0106,11.446
MT0107,10.55
MT0108,12.522
MT0109,13.76
MT0110,21.436
MT0111,39.995
MT0112,29.697
MT0113,12.262
rpmB (NC_002755 123969..124254),1.839
MT0115,24.811
MT0116,47.597
MT0116.1,39.285
MT0117,164.011
MT0118,8.688
MT0119,20.365
MT0120,47.821
MT0121,42.839
gmhA,36.517
MT0123,26.734
MT0124,8.011
MT0125,36.891
MT0125.1,5.94
oxc,6.626
MT0127,10.367
fusA-1,25.33
MT0129,11.513
MT0130,9.844
MT0131,12.31
MT0132,6.148
MT0133,82.007
MT0134,26.892
pep2,33.246
MT0136,19.262
fbpC,351.024
MT0138,12.771
MT0139,11.439
MT0140,8.281
MT0141,72.552
MT0142,89.511
MT0143,75.531
MT0144,17.567
msrA,35.322
MT0146,19.642
MT0147,39.733
MT0148,40.504
MT0149,83.312
MT0150,36.812
MT0151,47.721
MT0152,286.885
MT0153,500.48
MT0154,230.462
MT0155,154.027
MT0156,154.167
MT0157,90.626
MT0158,19.411
MT0159,1.849
MT0160,9.03
MT0161,4.58
MT0162,28.381
MT0163,38.68
MT0164,30.928
pntB,82.335
MT0167,47.309
MT0168,25.909
MT0169,2.663
MT0170,6.466
MT0171,8.29
MT0172,11.11
MT0173,105.683
MT0174,49.828
MT0175,55.055
MT0176,234.248
MT0177,119.817
mce-1,157.716
MT0179,238.361
MT0180,305.717
MT0181,358.285
MT0182,305.652
MT0183,636.696
MT0184,598.164
MT0185,242.489
MT0186,328.417
MT0187,199.183
MT0188,115.575
MT0189,25.667
MT0190,31.137
sigG,51.118
MT0192,31.633
MT0193,89.369
MT0194,69.424
MT0195,139.89
MT0196,731.875
MT0197,35.72
MT0198,99.348
ilvD,71.478
MT0200,202.717
MT0201,45.855
MT0202,65.374
MT0203,10.359
MT0204,4.11
MT0204.1,2.718
MT0205,35.273
MT0206,28.768
MT0207,27.745
MT0208,50.574
MT0209,28.003
MT0210,47.6
MT0211,63.145
MT0212,65.139
MT0213,46.757
MT0214,59.362
MT0215,38.611
MT0216,253.558
MT0217,165.035
trmB,76.321
MT0219,17.481
MT0220,9.947
pckA,364.304
MT0222,35.288
MT0223,14.093
MT0224,9.345
MT0225,13.806
MT0226,7.925
MT0227,10.485
MT0228,7.668
MT0229,4.773
MT0230,200.695
MT0231,45.12
MT0232,44.948
MT0233,14.916
MT0234,14.692
MT0235,36.705
MT0236,21.093
MT0237,70.193
MT0238,28.606
MT0239,71.659
opd,24.853
MT0241,16.819
MT0242,51.735
MT0244,37.528
gabD1,40.357
MT0246,20.898
MT0247,64.704
MT0250,66.295
MT0251,31.188
MT0252,96.015
MT0253,304.856
MT0254,35.765
MT0255,45.869
fabG (NC_002755 290778..292143),65.87
MT0257,156.346
MT0258,427.11
MT0259,56.924
MT0260,20.835
MT0261,72.11
sdhA (NC_002755 298977..300918),83.555
MT0263,93.018
MT0264,70.677
MT0265,247.25
nirB,80.509
cobU,12.201
cobQ-1,15.49
MT0269,43.667
MT0270,32.891
MT0270.1,77.8
MT0270.2,60.572
MT0271,13.154
MT0272,4.931
MT0273,4.116
narK-1,2.643
aac,45.968
MT0276,42.047
MT0277,31.834
MT0278,33.251
MT0279,13.062
narK-2,26.649
MT0281,60.289
MT0282,17.691
MT0283,132.591
MT0284,87.854
MT0285,41.8
MT0286,25.975
MT0286.1,43.395
MT0287,72.431
MT0288,106.288
MT0289,79.274
MT0290,215.866
MT0291,11.484
MT0291.1,32.103
MT0291.2,4.853
MT0291.3,7.764
MT0291.4,22.263
MT0292,364.533
MT0293,235.818
MT0294,820.663
MT0295,1095.817
MT0296,982.842
MT0297,611.125
MT0298,550.487
MT0299,442.946
MT0300,680.581
MT0301,1195.091
MT0302,912.196
MT0303,665.686
MT0304,652.544
MT0305,225.743
MT0306,66.899
tam,9.113
MT0308,40.633
MT0310,15.704
MT0311,72.442
MT0312,284.528
MT0313,123.067
MT0314,105.805
MT0315,133.487
MT0316,82.001
MT0318,12.504
bluB,8.492
MT0320,10.369
MT0321,44.183
MT0322,88.724
baiE,13.612
MT0324,5.918
MT0325,0.588
MT0326,36.416
MT0327,213.072
MT0328,100.5
MT0328.1,68.413
MT0328.2,78.778
MT0329,67.906
MT0330,32.289
MT0332,46.476
MTt04,0.787
MT0333,7.869
pcp,20.543
MT0335,16.425
dcd,18.7
ugdA,3.672
MT0338,11.265
MT0339,11.801
MT0340,10.094
MT0341,9.45
MT0342,17.6
MT0343,64.608
MT0344,31.764
MT0345,16.111
MT0346,16.417
MT0347,26.352
rfbA,20.016
MT0349,13.994
MT0350,11.516
aspC,55.886
MT0352,113.917
MT0353,26.332
MT0355,19.088
MT0356,274.053
MT0357,62.594
MT0357.1,43.852
MT0359,10.277
MT0360,23.461
ansP-1,79.276
MT0362,15.812
MT0363,19.589
MT0364,13.298
dnaK,179.786
grpE,160.849
dnaJ-1,144.702
hspR,100.877
MT0369,47.276
MT0370,11.88
MT0372,33.276
purA,17.842
MT0374,4.853
MT0375,11.392
MT0376,13.925
MT0377,82.92
MT0378,22.274
fba,93.568
dedA,49.89
MT0381,24.715
MT0382,20.097
MT0383,48.867
MT0384,3.363
MT0384.1,6.76
MT0385,4.415
MT0386,2.451
MT0387,3.081
MT0388,4.319
MT0389,2.062
MT0390,3.934
MT0391,12.901
MT0392,17.098
MT0393,31.965
MT0394,46.663
pyrE,101.262
MT0396,281.497
clpB,43.944
MT0398,11.938
MT0399,16.889
MT0400,11.586
purT,14.651
MT0401.1,43.255
metZ,32.098
ndh-1,13.889
MT0404,20.597
MT0404.1,28.793
MT0405,1.869
MT0406,4.748
MT0407,7.913
MT0407.1,42.33
MT0408,21.588
MT0409,13.683
MT0410,30.559
MT0411,7.984
MT0412,7.752
MT0413,4.014
MT0414,7.301
MT0415,11.877
MT0416,3.576
MT0417,18.749
MT0418,26.979
MT0419,19.565
fgd,35.136
pta,32.755
ackA,42.845
MT0423,100.888
MT0424,118.178
MT0425,110.026
MT0426,41.494
thiE,12.709
MT0428,21.119
MT0429,10.409
thiG,10.895
MT0431,2.664
MT0432,34.5
MT0433,59.245
MT0434,45.198
MT0435,38.453
thiD,56.92
thiC,131.749
MT0438,94.343
MT0440,95.871
MT0441,67.232
xth,23.267
MT0443,11.671
def,32.254
MT0445,52.217
AT103,59.881
sodC,81.994
MT0448,52.673
MT0449,39.797
MT0450,15.739
MT0451,46.305
pssA,41.509
MT0453,35.225
moeA-1,23.619
MT0455,16.033
groEL (NC_002755 530056..531679),359.448
MT0457,79.681
MT0458,19.65
MT0459,82.55
MT0460,52.985
MT0461,26.742
MT0462,26.385
cfa-1,15.875
MT0464,8.91
MT0465,13.764
MT0466,76.863
MT0467,100.085
MT0468,13.756
MT0469,10.36
MT0470,36.934
MT0471,101.468
MT0472,9.356
MT0472.1,8.655
MT0474,22.162
MT0475,34.443
MT0476,83.698
MT0477,45.293
lpdA-1,88.749
MT0479,39.615
MT0480,59.758
MT0481,29.096
MT0482,76.912
aceA-1,669.891
MT0484,171.522
MT0485,165.15
cmaC,190.607
MT0487,13.997
MT0488,38.227
MT0489,127.646
MT0490,62.173
MT0491,63.878
MT0492,83.975
MT0493,394.095
MT0494,57.092
MT0495,134.919
deoC,64.704
MT0497,128.926
MT0498,23.111
MT0499,28.174
murB,15.162
MT0501,275.751
MT0502,44.6
MT0503,187.524
MT0504,162.029
MT0505,70.155
MT0506,7.549
MT0507,5.766
gpmA,60.175
senX3,136.115
regX3,134.282
MT0511,34.948
MT0512,10.994
MT0513,11.059
MT0514,4.953
MT0515,59.737
MT0516,53.789
MT0517,48.497
MT0518,21.276
MT0519,22.469
proC,32.265
MT0521,162.415
MT0522,85.471
MT0523,181.135
cma2,78.606
MT0525,33.165
MT0526,79.278
MT0527,48.262
MT0528,22.697
MT0529,32.484
hemA,274.199
hemC,352.937
MT0532,351.415
hemB,223.582
MT0534,208.326
MT0535,150.243
MT0536,195.056
MT0537,215.343
MT0538,18.278
MT0539,13.303
MT0540,36.832
MT0541,67.972
MT0542,7.964
MT0543,4.758
MT0544,27.31
MT0545,9.49
hemL,119.821
MT0547,87.972
MT0548,151.264
MT0549,135.804
MT0550,118.482
MT0551,77.884
MT0552,84.817
MT0553,120.062
MT0554,38.639
MT0555,36.277
MT0556,24.334
fabH,38.765
menA,14.045
mtaP,13.041
MT0560,14.88
MT0562,63.432
MT0563,52.152
MT0564,73.745
MT0565,13.093
MT0566,33.793
menE,68.822
MT0568,137.643
MT0569,97.891
MT0570,279.141
MT0571,29.343
MT0572,19.148
menB,35.248
MT0573.1,6.039
MT0574,22.224
MT0575,14.831
MT0576,5.226
MT0577,29.965
MT0578,22.189
MT0579,14.781
MT0580,20.74
menD,87.088
MT0582,66.472
MT0583,48.409
ubiE,65.337
MT0585,239.462
MT0586,19.892
MT0587,13.906
MT0588,101.505
htpX,221.64
gpsA (NC_002755 656375..657401),37.971
MT0591,11.639
MT0592,19.056
MTt05,0.693
tcmO,23.681
MT0594,92.665
MT0595,44.574
MT0596,11.103
MT0597,9.405
MT0598,8.522
MT0599,6.13
MT0600,2.08
MT0601,3.723
MT0602,5.757
MT0603,11.647
MT0604,36.876
MT0605,49.016
dnrV,87.424
MT0607,109.918
MT0608,211.704
MT0608.1,51.19
MT0609,37.213
MT0610,33.714
MT0611,44.841
MT0612,5.748
MT0613,12.137
MT0614,6.407
MT0615,61.133
MT0616,59.766
MT0617,55.414
mce-2,42.177
MT0619,37.879
MT0620,12.103
MT0621,7.219
MT0622,5.949
MT0623,11.945
MT0624,10.712
MT0625,15.735
MT0626,9.706
MT0627,75.807
MT0628,78.067
MT0629,53.601
MT0630,4.878
tcrA,3.053
MT0632,19.84
MT0633,62.345
MT0635,61.705
MT0636,14.558
MT0637,133.275
MT0638,126.173
MT0638.1,80.992
MT0639,17.158
MT0640,22.982
MT0641,98.573
MT0642,8.649
MT0643,41.906
MT0644,2.606
MT0645,81.438
MT0645.1,25.633
MT0645.2,126.428
MT0646,57.22
MT0647,9.935
galK,2.08
MT0649,10.608
MT0650,4.106
MT0651,88.607
MT0652,34.264
MT0653,16.42
MT0654,80.545
MT0655,59.763
MT0656,42.31
recD,30.326
recB,14.075
recC,5.445
MT0660,119.814
MT0661,23.74
MT0662,40.943
MT0662.1,109.535
MTt06,9.573
MTt07,14.369
rpmG (NC_002755 733156..733324),68.979
MT0664,117.81
MT0665,128.82
MT0666,113.91
MTt08,38.291
secE,276.79
nusG,352.245
rplK,294.155
rplA,440.289
mma4,203.634
mma3,66.718
mma2,39.372
mma1,34.64
estB,76.781
MT0675,67.642
MT0676,11.53
MT0677,8.887
MT0679,9.738
rplJ,59.969
rplL,69.791
MT0682,46.421
MT0683,20.301
MT0684,281.837
MT0685,18.805
MT0686,32.85
MT0687,36.223
MT0688,314.914
MT0689,470.029
MT0690,2.393
MT0691,7.337
MT0692,32.615
MT0692.1,9.617
MT0693,4.466
MT0694,6.05
rpoB,614.112
rpoC,532.46
MT0697,89.602
MT0698,34.302
MT0699,72.888
MT0700,39.375
MT0701,92.945
MT0702,66.978
MT0703,54.287
MT0704,38.455
MT0705,88.728
MT0706,122.44
MT0706.1,66.302
MT0707,55.778
MT0708,55.904
MT0709,76.67
rpsL,228.897
rpsG,190.156
fusA-2,268.494
tuf,605.708
MT0714,80.126
fabG (NC_002755 789072..789900),46.348
MT0716,36.056
MT0717,7.536
MT0717.1,18.356
MT0718,74.484
MT0719,69.939
MT0719.1,472.956
MT0719.2,567.032
MT0720,558.568
MT0721,572.446
MT0722,287.317
MT0723,126.523
MT0724,34.253
MT0724.1,13.417
MT0725,31.176
MT0726,6.021
MT0726.1,524.703
rpsJ,791.293
rplC,691.146
rplD,619.773
rplW,449.341
rplB,568.037
rpsS,667.209
rplV,315.383
rpsC,386.107
rplP,355.686
rpmC,605.481
rpsQ,506.262
atsA,163.51
MT0739,96.021
MT0740,28.746
MT0740.1,8.382
rplN,153.396
rplX,213.157
rplE,199.068
rpsN (NC_002755 814815..815001),144.958
rpsH,244.611
rplF,283.188
rplR,141.244
rpsE,338.95
rpmD,334.697
rplO,457.154
sppA,171.43
MT0750,23.525
MT0751,49.478
MT0752,27.832
MT0753,12.05
MT0754,9.208
MT0755,63.426
MT0756,15.091
secY,68.862
adk,101.216
map-1,59.47
sigL,12.541
MT0760,8.662
MT0761,3.281
MT0762,9.121
MT0762.1,3.554
MT0763,47.52
MT0764,56.574
MT0765,32.04
MT0766,28.876
MT0767,53.982
MT0768,10.772
MT0768.1,4.13
MT0769,17.95
MT0770,17.578
MT0771,4.754
MT0772,2.537
MT0772.1,14.261
MT0772.2,6.231
MT0772.5,33.883
MT0772.6,99.237
MT0773,18.461
MT0773.1,13.925
MT0774,1022.109
mmsB,50.667
MT0776,11.766
mmsA,12.194
MT0778,14.401
MT0779,33.302
MT0780,48.258
MTt09,1.553
MT0781,55.826
MT0782,89.002
MT0783,50.126
MT0784,44.182
MT0785,33.554
MT0786,49.971
MT0787,16.105
MT0787.1,9.346
MT0788,15.074
MT0789,13.574
MT0790,13.053
MT0791,11.157
MT0792,12.32
MT0793,12.317
MT0794,10.296
MT0795,6.56
purD,12.482
ggt-1,23.611
MT0798,54.339
MT0799,32.85
MT0800,10.303
purB,43.131
MT0802,26.942
MT0803,7.322
hemH (NC_002755 875482..876376),17.001
ptrB,36.555
MT0806,47.436
MT0807,27.055
MT0808,17.123
MT0809,10.236
MT0810,12.303
MT0811,80.68
MT0812,72.064
purQ,52.971
MT0814,33.29
MT0815,19.891
MT0816,20.861
MT0817,22.606
MT0818,4.398
MT0819,33.714
MT0820,28.712
MT0821,15.923
MT0822,9.839
purL,46.098
MT0824,31.243
icc,157.48
cpsY,23.964
MT0827,4.314
MT0828,10.303
purF,130.254
purM,72.061
MT0831,230.071
MT0832,51.921
dat,22.493
MT0834,46.005
MT0835,37.646
MT0836,69.573
sseA-1,60.049
MT0838,13.491
MT0839,8.38
MT0840,148.29
MT0841,68.799
pstB-1,76.071
MT0843,324.821
MT0844,122.05
MT0845,485.529
MT0846,1393.886
MT0847,11.728
MT0848,169.955
MT0849,18.536
MT0850,5.147
MT0851,43.836
MT0852,149.517
MTt10,0.766
MTt11,7.563
MTt12,1.513
MTt13,2.269
MT0853,11.238
MT0854,28.667
MT0854.1,14.623
MT0855,62.226
MT0856,22.077
MT0856.1,11.605
MT0857,8.419
MT0858,4.98
MT0859,3.389
vanX,19.244
MT0861,15.4
pip,10.145
MT0863,10.544
MT0864,42.065
MT0865,7.127
MT0866,68.61
MT0867,13.362
MT0868,5.823
MT0869,12.415
MT0870,97.615
MT0871,29.788
MT0872,10.685
MT0873,9.618
MT0874,10.088
MT0875,11.062
MT0876,14.532
MT0877,24.789
MT0878,17.039
MT0879,52.343
MT0880,52.828
MT0881,18.046
MT0882,773.95
MT0883,804.852
MT0884,36.856
MT0885,13.026
MT0886,194.525
moaC (NC_002755 962893..963397),199.196
mog,87.17
moaE-1,76.415
MT0890,167.279
MT0891,56.564
moaA,138.406
MT0892.1,172.312
MT0893,99.911
MT0894,206.618
MT0895,1.213
MT0896,65.897
MT0897,30.16
MT0898,84.552
MT0899,87.004
MT0900,104.142
MT0901,19.847
MT0902,37.978
MT0903,10.347
MT0904,9.825
MT0905,30.854
MT0906,92.776
MT0907,49.944
MT0908,102.635
MT0909,31.375
MT0910,11.465
MT0910.1,4.106
MT0910.2,6.325
MT0910.3,1.165
MT0910.4,0.792
MT0911,34.581
gltA-1,55.327
MT0914,11.629
MT0915,10.588
MT0915.1,4.853
MT0916,11.623
MT0917,6.907
MT0918,9.065
MT0919,4.508
gltA,170.702
MT0921,41.72
MT0921.1,108.968
MT0922,13.356
MT0923,24.74
MT0924,36.19
MT0925,68.765
MT0926,151.522
accD,12.797
MT0928,74.86
MT0929,43.974
pbp-1,26.927
MT0931,32.741
MT0932,6.111
MT0933,82.821
MT0934,75.369
MT0934.1,23.324
MT0936,15.313
MT0937,24.407
MT0938,21.534
MT0939,34.733
MT0940,9.41
MT0941,12.423
MT0942,11.732
MT0943,4.966
MT0944,11.278
MT0945,37.544
MT0946,29.315
MTt14,3.989
MT0947,10.456
MT0948,42.425
MT0949,153.07
MT0950,56.648
MT0951,10.563
MT0952,42.61
MT0953,13.031
MT0954,14.485
pstS-1,29.764
pstC-1,19.232
pstA-1,83.882
MT0958,361.311
pstS-2,556.699
pstB-2,86.895
pstS-3,103.475
pstC-2,121.163
pstA-2,54.12
MT0964,37.76
MT0965,70.059
MT0966,72.529
MT0967,30.628
MT0968,16.627
MT0968.1,40.243
MT0969,2.748
MT0970,11.856
MT0971,30.034
pgi,21.093
MT0973,0.613
MT0974,7.563
MT0975,36.259
pcrA,21.624
MT0977,55.552
sucC,91.253
sucD,90.99
MT0980,9.419
MT0981,179.298
MT0982,42.568
purN,16.446
purH,26.635
MT0985,38.822
MT0986,31.525
MT0987,42.757
MT0988,60.053
MT0989,46.855
MT0990,12.768
MT0991,5.369
MT0992,3.417
MT0992.1,5.865
MT0993,24.429
MT0994,37.478
MT0995,393.077
MT0996,380.884
MT0997,237.169
MT0998,105.244
MT0999.1,68.443
MT1000,118.314
bccA-1,155.609
pccB-1,122.05
MT1003,108.966
MT1003.1,125.948
MT1004,20.893
MT1006.1,1.906
rpmF,93.04
MT1008,55.589
MT1009,369.654
MT1010,518.03
MT1011,567.833
MT1510,113.196
mscL,70.366
MT1014,9.978
MT1015,15.534
MT1017,28.239
MT1018,17.028
MT1019,14.714
MT1020,53.957
MT1021,34.96
galU,56.21
moeA-2,96.465
rimJ,40.155
MT1025,182.079
MTt15,13.026
MT1025.1,9.912
MT1025.2,1326.202
MT1025.3,694.644
MT1026,741.818
MT1027,140.532
MT1028,47.953
MT1029,53.24
arcA,26.155
MT1031,16.985
MT1032,11.335
MT1033,45.514
MT1034,40.098
MT1035,86.052
metG,22.696
MT1037,4.968
MT1038,83.367
ksgA,49.016
MT1040,18.463
MT1040.1,28.34
MT1041,39.003
pth,9.605
MT1043,30.914
MT1044,30.015
prsA,67.375
glmU,62.312
MTt16,0
MT1047,45.803
mfd,28.999
MT1049,23.754
MT1050,33.502
eno,47.896
MT1052,34.754
MT1053,40.716
MT1054,30.937
MT1054.1,41.783
MT1055,5.468
kdpE,6.584
kdpD,16.695
MT1057.1,1.765
kdpA,8.993
kdpB,8.885
kdpC,9.808
tcrS,10.353
trcR,22.074
MT1063,3.733
MT1065,8.392
MT1066,15.12
MT1067,61.617
MT1068,7.131
MT1069,6.752
MT1070,7.596
MT1070.1,7.718
MT1071,9.046
MT1072,19.453
MT1073,42.398
MT1074,11.572
MT1075,22.778
MT1075.1,124.512
MT1076,9.239
MT1077,15.224
MT1078,8.505
MT1079,11.074
MT1080,3.78
MT1081,2.311
MT1082,9.659
MT1083,20.904
MT1083.1,63.199
MT1083.2,77.301
MT1084,30.83
MTt17,0.787
MT1085,16.747
MT1086,17.771
MT1087,1159.031
MT1088,77.681
MT1089,45.924
MT1090,30.1
MT1091,15.03
MT1092,10.528
MT1093,29.628
MT1094,8.874
MT1095,59.466
MT1096,45.881
MT1096.1,8.02
MT1096.2,1.894
MT1097,5.671
MT1098,7.021
MT1099,24.296
MT1100,44.315
MT1101,31.473
MT1102,1960.533
MT1103,193.233
MT1104,136.357
MT1105,19.411
MT1106,59.856
MT1107,7.345
MT1108,56.731
pra,108.896
metB,46.856
greA,502.574
MT1112,18.277
lmbE,52.39
MT1114,44.057
MT1115,35.453
MT1116,11.161
MT1117,33.231
uppS-1,53.51
MT1118.1,17.553
MT1118.2,4.173
MT1119,2.571
MT1120,2.426
MT1121,1.273
MT1122,7.79
MT1122.1,2.718
MT1123,29.239
panK,24.621
glyA (NC_002755 1220120..1221401),97.011
MT1126,1392.826
MT1127,501.606
MT1128,45.204
MT1129,64.374
fumC,58.315
glpX,45.077
MT1132,75.113
MT1133,52.903
MT1134,92.763
MT1135,102.216
MT1136,15.188
MT1137,52.635
xseB,170.435
xseA,84.224
MT1140,257.996
ispH,108.115
MT1142,75.159
MT1143,6.507
MT1143.1,16.47
MT1144,13.355
MT1145,8.748
MT1147,11.697
MT1148,16.246
MT1149,101.19
MT1150,18.87
MT1151,8.981
MT1152,3.765
zwf-1,61.517
MT1154,43.035
MT1155,24.326
MT1156,15.064
MT1157,9.405
MT1157.1,9.803
MT1158,21.91
MT1159,28.465
MT1160,11.112
MT1161,23.796
MT1162,62.543
gltA-3,58.677
MT1164,100.814
metE,508.932
MT1166,0.485
MT1167,5.16
MT1168,8.075
MT1169,0
MT1169.1,2.384
MT1170,5.608
MT1171,8.188
MT1172,9.783
MT1172.1,17.816
MT1173,47.533
MT1174,13.35
MT1175,60.543
MT1176,21.372
MT1177,67.05
MT1178,691.338
MT1179.1,7.922
MT1180,18.338
MT1181,87.963
MT1182,41.897
MT1183,33.931
MT1184,20.143
MT1185,23.734
MT1186,88.305
MT1187,26.202
MT1188,19.213
MT1189,91.445
MT1190,47.45
MT1191,247.592
MT1192,144.198
MT1193,131.339
MT1194,161.844
pimE,32.546
phhB,53.476
MT1197,16.814
narG,322.481
narH,195.883
narJ,108.965
narI,70.426
MT1202,52
MT1203,47.277
MT1204,55.735
MT1205,53.647
MT1206,29.026
MT1207,27.521
MT1208,51.763
MT1209,63.887
fbiC,108.857
MT1211,635.674
fadH,43.337
MT1213,14.089
fdxC,437.376
MT1215,292.612
MT1216,184.898
MT1217,20.987
mas-1,28.526
MT1219,19.247
MT1220,17.418
MT1221,115.476
MT1222,162.498
MT1223,9.111
pruA,10.384
MT1225,6.059
sigI,5.203
MT1227,4.107
MT1228,18.133
MT1229,200.02
MT1230,39.396
MT1231,62.603
MT1232,17.623
MT1233,76.432
MT1234,92.748
MT1235,191.759
MT1236,217.61
MT1237,9.706
MT1238,37.911
MT1239,48.162
dapE,26.52
MT1241,7.964
MT1242,11.86
MT1243,51.109
MT1244,28.565
folP-1,61.459
MT1246,53.157
MT1247,92.322
tag,63.442
MT1249,364.12
glgA,56.533
glgC,23.485
MT1252,18.012
MT1253,55.747
MT1254,46.932
MT1255,34.509
MT1256,31.046
MT1257,26.337
MT1258,137.227
sigE,1144.585
MT1260,357.608
htrA,265.923
MT1262,160.437
MT1263,63.349
MT1264,23.15
MT1264.1,25.195
MT1265,34.439
MT1266,45.181
mrp,88.666
MT1268,25.63
MT1269,33.031
MT1270,28.226
MT1271,123.963
MT1272,53.932
MT1273,22.846
MT1274,20.483
MT1275,28.164
MT1276,26.555
MT1277,11.742
mdh,61.175
MT1279,40.391
MT1280,18.737
MT1280.1,8.532
MT1281,39.499
MT1283,65.732
MT1284,24.668
MT1285,19.411
kgd,90.187
MT1287,43.029
MT1288,6.851
MT1289,14.224
MT1290,11.566
MT1291,20.176
deaD-1,34.383
MT1293,30.633
MT1294,24.862
MT1295,15.299
MT1296,48.485
tap,5.777
MT1297.1,6.134
MT1298,23.657
MT1299,31.576
MT1300,33.753
MT1301,8.008
MT1302,116.272
MT1303,121.513
MT1304,26.098
MT1305,5.739
MT1305.1,6.919
MT1306,5.915
MT1307,17.071
MT1308,25.829
MT1309,77.812
MT1310,37.133
MT1311,21.009
MT1312,86.08
MT1312.1,61.584
MT1313,8.385
MT1314,43.188
MT1315,41.947
MT1316,48.106
MT1317,35.544
MT1318,17.67
MT1319,19.544
MT1320,29.474
MT1321,0.792
MT1322,19.175
cysD,20.601
cysN,21.116
MT1325,24.803
MT1326,6.839
MT1327,35.143
MT1328,16.813
MT1329,6.944
MT1330,1.82
MT1330.1,5.759
MTt18,0.766
argS,30.825
lysA,66.076
thrA,94.86
thrC,123.296
thrB,44.15
rho,1095.72
rpmE,1069.055
prfA,212.493
papM,138.361
MT1340,118.07
rfe,44.273
MT1342,67.057
MT1343,154.451
atpB,144.927
atpE,216.364
